Ballot,ID,Year,Region,Gender,Race,Education,Marital,Religion,Happy,Income,PolParty,Politics,OwnGun,GunLaw,SpendMilitary,SpendEduc,SpendEnv,SpendSci,SpendSpace,SpendDrug,Pres12,Postlife
Ballot a,129,2018,Pacific,Male,White,Graduate,Married,Catholic,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Don't know,No
Ballot c,130,2018,Pacific,Female,White,Graduate,Never married,None,Very happy,$25000 or more,Strong democrat,Liberal,No,Favor,Too much,Too little,Too little,Too little,About right,Too little,Obama,No
Ballot b,131,2018,Pacific,Female,White,High school,Married,Protestant,Very happy,Refused,Independent,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,132,2018,Pacific,Female,White,Graduate,Married,None,Very happy,$25000 or more,Not str democrat,Extremely liberal,No,Favor,Too much,About right,Too little,About right,Too much,Too little,Not applicable,No
Ballot b,133,2018,Pacific,Male,White,Bachelor,Married,None,Pretty happy,Refused,Strong democrat,Liberal,Not applicable,Not applicable,Too much,Too little,Too little,Too little,Too little,Too little,Obama,No
Ballot c,134,2018,Pacific,Male,White,High school,Married,Protestant,Pretty happy,Refused,Strong democrat,Liberal,Yes,Favor,Too much,Too little,Too little,Too little,Too little,Too little,Obama,Yes
Ballot b,135,2018,Pacific,Male,White,High school,Married,Buddhism,Pretty happy,Refused,Strong democrat,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,No
Ballot b,136,2018,Pacific,Female,Other,High school,Never married,Catholic,Pretty happy,$25000 or more,Independent,Slightly liberal,Not applicable,Not applicable,Too little,About right,Too much,Don't know,Don't know,Too little,Not applicable,Yes
Ballot a,137,2018,Pacific,Male,Other,High school,Never married,None,Pretty happy,$25000 or more,Independent,Moderate,No,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,No
Ballot c,138,2018,Pacific,Female,Other,Bachelor,Married,None,Not too happy,$25000 or more,Independent,Slghtly conservative,No,Oppose,Too much,Too much,Too little,Too little,About right,Too little,Not applicable,Yes
Ballot b,139,2018,Pacific,Female,White,Lt high school,Married,Catholic,Very happy,$25000 or more,"Ind,near dem",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Don't know
Ballot a,140,2018,Pacific,Female,White,High school,Never married,None,Pretty happy,$25000 or more,"Ind,near rep",Moderate,No,Favor,Too much,About right,Too little,Too much,Don't know,Too little,Not applicable,Yes
Ballot c,141,2018,Pacific,Male,White,Junior college,Divorced,None,Not too happy,$25000 or more,Strong republican,Conservative,Yes,Favor,Too little,Too much,Too much,Too much,Too little,Too much,Romney,Don't know
Ballot b,142,2018,Pacific,Male,White,High school,Married,Protestant,Pretty happy,$20000 - 24999,Not str democrat,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,143,2018,Pacific,Male,Other,Lt high school,Divorced,Catholic,Not too happy,Refused,Independent,No answer,No,Favor,About right,Too little,Too little,Too little,About right,Too little,Not applicable,No
Ballot b,144,2018,Pacific,Male,Black,High school,Never married,Protestant,Pretty happy,$15000 - 19999,Independent,Moderate,Not applicable,Not applicable,Too much,Too little,About right,Too much,Too much,Too little,Not applicable,Yes
Ballot b,145,2018,Pacific,Male,Other,High school,Divorced,Catholic,Pretty happy,$25000 or more,Strong democrat,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,146,2018,Pacific,Male,Black,High school,Never married,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Conservative,No,Oppose,About right,Too little,About right,About right,Too much,Too little,Not applicable,No
Ballot b,147,2018,Pacific,Male,Black,High school,Never married,Protestant,Not too happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Too much,Too little,Too little,About right,Too little,Too little,Not applicable,Yes
Ballot b,148,2018,Pacific,Female,Black,Bachelor,Never married,Catholic,Pretty happy,$10000 - 14999,Independent,Don't know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,149,2018,Pacific,Male,White,High school,Never married,None,Pretty happy,$25000 or more,Independent,Moderate,Yes,Favor,Too much,Too little,Too little,About right,Too much,Too little,Not applicable,Don't know
Ballot b,150,2018,Pacific,Female,White,Graduate,Separated,Jewish,Very happy,$25000 or more,Strong democrat,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,151,2018,Pacific,Female,Black,Graduate,Never married,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Refused,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,No answer,Yes
Ballot c,152,2018,Pacific,Female,Black,High school,Separated,Protestant,Pretty happy,$4000 to 4999,Strong democrat,Conservative,No,Favor,About right,Too little,About right,About right,About right,About right,Obama,Don't know
Ballot b,153,2018,Pacific,Female,Black,High school,Never married,Protestant,Not too happy,$4000 to 4999,Independent,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,154,2018,Pacific,Female,Other,Bachelor,Separated,Catholic,Pretty happy,$25000 or more,Independent,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Don't know
Ballot b,155,2018,Pacific,Male,Other,Lt high school,Never married,Catholic,Very happy,$1000 to 2999,Not str republican,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Don't know
Ballot c,156,2018,Pacific,Female,Other,Lt high school,Married,None,Pretty happy,$10000 - 14999,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,157,2018,Pacific,Female,White,High school,Separated,Protestant,Not too happy,$25000 or more,Not str republican,Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot a,158,2018,Pacific,Female,Other,High school,Never married,Catholic,Pretty happy,$25000 or more,Other party,Moderate,No,Oppose,About right,About right,About right,About right,Don't know,Too little,Not applicable,Yes
Ballot b,159,2018,Pacific,Female,Other,Lt high school,Married,Catholic,Very happy,$15000 - 19999,"Ind,near dem",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot a,160,2018,Pacific,Female,White,Lt high school,Separated,Catholic,Pretty happy,$10000 - 14999,Independent,Moderate,No,Favor,Too much,Too much,Too little,About right,About right,About right,Not applicable,Yes
Ballot c,161,2018,Pacific,Female,Other,Lt high school,Never married,None,Not too happy,Don't know,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,162,2018,Pacific,Female,White,High school,Never married,None,Pretty happy,$25000 or more,Not str democrat,Liberal,Not applicable,Not applicable,Too much,About right,Too little,Too little,Don't know,Too little,Not applicable,Yes
Ballot a,163,2018,Pacific,Female,Other,High school,Married,None,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,164,2018,Pacific,Female,Other,High school,Married,Catholic,Not too happy,$5000 to 5999,Not str democrat,Moderate,No,Favor,About right,Too little,Too little,Too little,About right,Too little,Not applicable,No
Ballot a,165,2018,Pacific,Female,White,Lt high school,Married,Catholic,Pretty happy,$3000 to 3999,Independent,Moderate,No,Favor,About right,Too little,About right,About right,About right,Too little,Not applicable,Yes
Ballot b,166,2018,Pacific,Female,White,High school,Never married,None,Pretty happy,Don't know,"Ind,near dem",Liberal,Not applicable,Not applicable,Too much,Too little,Too little,Too little,Don't know,Too little,Obama,Don't know
Ballot c,167,2018,Pacific,Male,White,Lt high school,Never married,None,Very happy,$25000 or more,Not str democrat,Moderate,No,Favor,About right,About right,About right,About right,About right,About right,Not applicable,Yes
Ballot a,168,2018,Pacific,Male,Other,Bachelor,Never married,Catholic,Pretty happy,Don't know,Independent,Liberal,No,Favor,Too much,Too little,Too much,Too little,Don't know,Don't know,Not applicable,Yes
Ballot c,169,2018,Pacific,Male,White,Junior college,Never married,None,Not too happy,$25000 or more,Not str democrat,Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot a,170,2018,Pacific,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Strong democrat,Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot c,171,2018,Pacific,Male,White,High school,Never married,None,Pretty happy,$25000 or more,"Ind,near rep",Slghtly conservative,No,Oppose,About right,Too little,Too little,About right,Too little,Too little,Not applicable,Yes
Ballot b,172,2018,Pacific,Male,Other,High school,Married,Catholic,Very happy,$25000 or more,"Ind,near dem",Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Don't know
Ballot c,173,2018,Pacific,Female,White,High school,Divorced,Protestant,Not too happy,$25000 or more,Strong republican,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot b,174,2018,Pacific,Female,White,Bachelor,Never married,Jewish,Pretty happy,Refused,Strong democrat,Conservative,Not applicable,Not applicable,Too little,Too little,About right,About right,Too much,Too little,Obama,Yes
Ballot c,175,2018,Pacific,Male,White,Graduate,Married,Jewish,Very happy,Refused,Strong democrat,Liberal,No,Favor,Too much,Too little,Too little,About right,Don't know,Too little,Obama,No
Ballot b,176,2018,Pacific,Female,Other,Bachelor,Married,Buddhism,Pretty happy,$25000 or more,Independent,Conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,177,2018,Pacific,Female,White,Graduate,Married,Jewish,Very happy,Refused,Strong democrat,Extremely liberal,No,Favor,About right,Too little,Too little,Too little,Too much,Too little,Obama,No
Ballot c,178,2018,Pacific,Male,White,High school,Separated,Other,Pretty happy,$25000 or more,"Ind,near rep",Don't know,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Didn't vote for president,Yes
Ballot b,179,2018,Pacific,Male,Other,Bachelor,Never married,None,Very happy,$25000 or more,Not str democrat,Slightly liberal,Not applicable,Not applicable,Too much,Too little,Too little,About right,Too little,Don't know,Obama,Yes
Ballot a,180,2018,Pacific,Male,White,High school,Never married,Protestant,Very happy,$10000 - 14999,Independent,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,181,2018,Pacific,Female,Black,High school,Never married,None,Don't know,Don't know,Independent,Don't know,No,Oppose,About right,About right,About right,About right,Don't know,About right,Not applicable,Yes
Ballot b,182,2018,Pacific,Female,White,High school,Divorced,Protestant,Pretty happy,$10000 - 14999,"Ind,near dem",Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot a,183,2018,Pacific,Male,White,Graduate,Never married,None,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,Too much,Too little,Too little,Too little,Too little,Too little,Obama,No
Ballot b,184,2018,Pacific,Male,White,Graduate,Never married,Protestant,Pretty happy,$25000 or more,Strong democrat,Moderate,Not applicable,Not applicable,About right,Too little,Too little,Too little,Too little,About right,Obama,Yes
Ballot a,185,2018,Pacific,Male,Other,Bachelor,Divorced,None,Not too happy,$25000 or more,"Ind,near dem",Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,186,2018,Pacific,Female,White,High school,Never married,None,Very happy,$25000 or more,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,No
Ballot b,187,2018,Pacific,Female,White,Lt high school,Divorced,Catholic,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Not applicable,Not applicable,Too little,Too little,Too little,About right,Too much,Too little,Not applicable,Yes
Ballot a,188,2018,Pacific,Male,Other,Bachelor,Married,Catholic,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,189,2018,Pacific,Female,White,High school,Never married,None,Pretty happy,Refused,No answer,Moderate,No,Favor,Too much,Too little,Too little,Too little,About right,Too little,Not applicable,No
Ballot b,190,2018,Pacific,Male,Other,High school,Never married,Catholic,Not too happy,$25000 or more,"Ind,near rep",Conservative,Not applicable,Not applicable,About right,Too little,Too little,About right,About right,Too little,Not applicable,No
Ballot c,191,2018,Pacific,Male,Other,High school,Divorced,Protestant,Very happy,$25000 or more,Strong republican,Moderate,Yes,Favor,Too much,About right,About right,About right,About right,Too much,Romney,Yes
